ITItem,RCA,Description
Rapid LR: PL Urban,Clarification,"Kindly find below the sample CONVAI bot responses that were not pushed to the RAPID LR table, resulting in the business team being unable to contact these customers. Request you to please identify the root cause and resolve the issue on priority. CREATEDDATE EVENT_CODE__C PROFILE_PHONE 02-Dec-25 B2C_OFFER_VIEW F50188A08DC78F7F23CFED7F70D357D5139D6C6593F6A9DAB72A090F2B65E1AC 06-Dec-25 B2C_OFFER_VIEW ED7A8808B95EE222F4E0522B6EA5519185DA9B15EE785485D0AEF7306027428F 04-Dec-25 B2C_OFFER_VIEW 1C4A6437997B0F8025D455A0F2CA1CEA261A9237EA043881C1FED1AF23AC6C3C 12-Dec-25 B2C_OFFER_VIEW 683BDB0623E68E11004ED4ADD48429CF449F8F01971D41FD21E818F8B6B28945 12-Dec-25 B2C_OFFER_VIEW 1A376B0709A8ED405AC4C78448C99C7CD182CD03EFAEA4311346B5BEE24AB861 03-Dec-25 B2C_OFFER_VIEW 2E50FBEB8BD5F888D63ECC422B12766A98C910571E914527947577FD49D937BC 09-Dec-25 B2C_OFFER_VIEW B84A67D8EFE0D3975289E6016C8FE52DA107C64D5FAEB55428B1227C5C46B2A1 09-Dec-25 B2C_OFFER_VIEW A855010DFB20DC0FB2F69E7F5AF8CAC7E495D88708502B2611B7CABE7378511A 09-Dec-25 B2C_OFFER_VIEW 8CEF2E688593E41767F3D638AF604E4CAAAB010982AF934F4C85EAC2E4F354CD 09-Dec-25 B2C_OFFER_VIEW 0A8B72D66F1A3FC22DAFAA6F9AFAB8C977A5E62008798C4E9068E7B3FB63F5F5 09-Dec-25 B2C_OFFER_VIEW D825E77A598989F12721EB6F0A84ABB172A5EE87F6895CA3D443133A1A761AA4 09-Dec-25 B2C_OFFER_VIEW 210225AAFF6A2D1D6CBE95DB6F759857C1A80B5FF6F29376A394A8149C5F482C 09-Dec-25 B2C_OFFER_VIEW 4751ECF5AF1F885819D76AB582FD7C829F4FF2ADDE4B1980EE99D63A4C2325E8 12-Dec-25 B2C_OFFER_VIEW 9B0C4E96F0FA844AD524FEDB2ED7379F3C7E8E8B28A86016F21225B6DD051E60 09-Dec-25 B2C_OFFER_VIEW 0A1898FEE54D203165FA7B071345F1C25F59E54E3B305EBFEB8C92083489D222 09-Dec-25 B2C_OFFER_VIEW 0336CE6BD8E025C22D333F9FFD5533C6DCCA08E802C5498973EEECE370AD81E0 09-Dec-25 B2C_OFFER_VIEW B5931E36D5ED403C74463065948FC813A65ADD87367ABE5D7DABFE3FD9EBBB8A 10-Dec-25 B2C_OFFER_VIEW 53B26D14FAA565F20F3FBA62B0E467F9B2C3F7C6512EEB9A2CA21DC0451BD2CD 10-Dec-25 B2C_OFFER_VIEW FC922815EEB54FC47BBFC23E1C5037880225F65BD7B2215F38FA36317929362F 10-Dec-25 B2C_OFFER_VIEW F93EDBBF82BFF12EBFAD6E57010FD1673BA1CEA8142B4AACBE6AB16A9AF2E5A6 06-Dec-25 B2C_OFFER_VIEW 9D847A74E46D8E68AAE874979326A6D770881D3DC11F3941B6F3AB61A5AFB184 10-Dec-25 B2C_OFFER_VIEW AFE44029AA4602865E5F57901648B4799168C279DC1B37BF91DB2C90E8D1626D 10-Dec-25 B2C_OFFER_VIEW 71AA69B8AE10E7B9DA19CD24F4AFD96853D2845CF6F91283E1D1A4EFDA5BFB3B 10-Dec-25 B2C_OFFER_VIEW A9D92B6D56D221971E37ABA038D1200C006CF113B72B6A0E7333439555773B2F 10-Dec-25 B2C_OFFER_VIEW 3737F545213A918D64069E98A28380284BB928EB3F12B360BA9648E3EFE372AB 10-Dec-25 B2C_OFFER_VIEW 9C891F2D9C16DFC80A9AFAB05E594A7188EBAF8F5E480E363E3D07F3CC36490F 01-Dec-25 B2C_OFFER_VIEW 5F5E5A2E6468EB3B3C41481E40E02E0F6F6882D61DB1F20A16D01F30D68ED192"
Rapid LR 2.0,Source System Issue,"Hi @Mohit Agarwal @Mohit Agarwal , Please check the below source. Since yesterday, no missed call feeds are flowing into Rapid LR. Source Name: bflslmscl2"
Rapid LR: PL Urban,Master Maintenance,"Hi @Raj Singh4 , Kindly refresh table as I have updated this today."
Rapid LR: PL Urban,Master Maintenance,"Hi @Raj Singh4 , Kindly refresh table as I have updated this today."
Rapid LR 2.0,Change Request,"Hi, Please find customer UIDs for 18-12-25, kindly check why campaign names are blank for V4 and V5 version. 1715b815-e44d-4654-979d-61d60be72ae0 8bd16324-9115-4e6b-89e5-6268a3b97f0c 92c17cd6-ebe8-451e-b2e0-96b3546b8a11 b434ead7-7598-481e-b217-c23dffb8aa4f 3b16d553-9b35-4138-82fe-7423d09ee68b 74804191-6630-4090-98ea-de99768c79fb 985b240a-2dac-469d-a19d-5d5f5a920ab7 bb156f46-04cd-486b-997f-73ca66111d20 f273bd2b-dfb3-43a5-a762-717d3acc48bf 9e594e82-e360-44d4-8df7-6807a5945798 89a13ae3-6f59-4f30-9405-a046028c3680 cde99b79-183c-48bc-85c6-b21ec1ee0565 1715b815-e44d-4654-979d-61d60be72ae0 8bd16324-9115-4e6b-89e5-6268a3b97f0c 92c17cd6-ebe8-451e-b2e0-96b3546b8a11 b434ead7-7598-481e-b217-c23dffb8aa4f 3b16d553-9b35-4138-82fe-7423d09ee68b 74804191-6630-4090-98ea-de99768c79fb 985b240a-2dac-469d-a19d-5d5f5a920ab7 bb156f46-04cd-486b-997f-73ca66111d20 f273bd2b-dfb3-43a5-a762-717d3acc48bf 9e594e82-e360-44d4-8df7-6807a5945798 89a13ae3-6f59-4f30-9405-a046028c3680 cde99b79-183c-48bc-85c6-b21ec1ee0565"
Rapid LR: PL Urban,Clarification,"Hi @Raj Singh4 , Kindly refresh table as I have updated this today."
Rapid LR: RPL Urban,Clarification,Hi Certain cases in vw_mainleadlounge_pl table in not visible in Rapid LR logs vw_rapidlr_pl wihtout any master exclusion criteria. Sample Main LL Log ID not in Rapid LR: f78a9346-3997-6bdb-c6fe-60fe8dfecb5d-2c892c53-ef3a-b712-bd88-ed7392ca0074
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please find below sample cases, the UCM click feeds are not flowing to dedicated Rapid LR campaigns. MOBILENO 073D9391D88F825A509362DBD8D37E471387D3578A63ABC15F6EF94685E555B3 CCDCE8EE26ECCB8951CC9CEC1185CB60D4A4D96F07023A55BE2247E9BCB2D82A 8BA4AD7024AA84BEB36D2D123C62EF7AD4A983839C59CA3A05649FCA8DF0BB76 F831F239415816DAC6146F760A617B4A0C5B6F6387E6C325C3C652769E1CE893 2DD29FEDDED43E3C764FAA4C43B9EDA634F627E0E3BA5A0B3F8937374A7352CB 970F54114356FCFA41C881E3FEC45C9CF6854EC48F44F6E9580BE774B1345B61"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please find below sample cases wherein UCM clicks are being incorrectly getting allocated to PLTB business. mobile internalSource responseBusiness E740BEBD93B476485D64F3D9ACF400E5A83E5CDAB8B584416C86095BD30A16FA UCL_PL_Other PLTB 0CCB245937468DD84067D99F6AAE5A55E0A64DCEA55B687166F4203A07FB6BC2 UCL_PL_Other PLTB EBA3D039CDCB82D75ED63023F851515C9D14A1ED954C58964AB53B41B0E93E28 UCL_PL_Other PLTB 242B7DBC76299F06B6E52701764B1C1ED9B83571DE070241F36F95EF43ECF262 UCL_PL_Other PLTB 1EFC91F720BF99CEE12543C6612889DCBEEA1B66815ADF1EA2F8CB62AFDF4CDE UCL_PL_Other PLTB 2A8A7540583ABACB882517E868C3C04B048255EDF4DD54499CF47F7C4E74E133 UCL_PL_Other PLTB 471328BB590A28DA20E745C17FD88E95618A56624A3B6CF40ACD805D369497B8 UCL_PL_Other PLTB D2B87BE93B9C48158FE2840C79AB8F929D1813A06A22CE7260EDA38A3B8C2E50 UCL_PL_Other PLTB 0517432764558BE927B66ED6439E7F04EDB2C13F1BD2510E915AE79C0392A539 UCL_PL_Other PLTB ECE5AB49B7967295744C0419987CDCD468472E0D7E966B70F087192A0C8F529D UCL_PL_Other PLTB DA2BCD2F743B9A833EDAEE65FCB47BA9082308E6FD81C611D2B1DEBE7B91395B UCL_PL_Other PLTB 018B14441CE0E57763B1A7C1CA129BD5A90F5E851014D330EEE6F55E6C7B69C7 UCL_PL_Other PLTB 7F489A3C654DE747D68721D983F23EA8F99A00FFA5B1A0D73D670E55FF4F8AD9 UCL_PL_Other PLTB 11626CF6CD505BDA7F921400255323A039DA83F4C97090A9DD0F16EA3EEA388E UCL_PL_Other PLTB 038CDF5D71403B9DEF27975EC57D50AB32FE4BB92B53F66DFD83ABE06EEE6AB0 UCL_PL_Other PLTB 6A756D26854379B49088E91A6EAA6867A219104FF7B795BA93FF70AD1564F5C2 UCL_PL_Other PLTB 854BB60D21ADC7C3B193F2AB65649E0CB92A35AEDBAF0B4A5B9FE8554AA14D2E UCL_PL_Other PLTB 25BD287895960B45F9E5905AD32B136C0C5A2ACF538F3CC4DCFA05343457243D UCL_PL_Other PLTB D6644EC03205396A48627C7FF2F703808C76D9177C9CDD0AB60E429A72541F36 UCL_PL_Other PLTB"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please check the campaign mentioned below. The business wants to route feeds (internal source = RCS) to this campaign. BFL_S2SCRM_SALPL_RAPIDLR_COG_MANG The Lead ID master has already been updated. Adding @Meetesh Kumar"
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER Adding @Meetesh Kumar"
Rapid LR 2.0,Master Maintenance,"Subject: NTB Enabling based on Event Names via NTB Event MASTER Enable current existing NTB flow for:- Source/Internalsoure - SUPERAPP , WEB Product - RSL Event Name - RSL_NTB_CONVERT_PERSONAL_DETAILS RSL_NTB_EMPLOYMENT_DETAILS RSL_NTB_INCOME_DETAILS RSL_NTB_OFFICE_DETAILS RSL_NTB_REVISED_OFFER RSL_NTB_LOANSUMMARY_DETAILS RSL_NTB_KYC_DETAILS RSL_NTB_BANK_DETAILS RSL_NTB_IMPS_TRIGGERED RSL_NTB_IMPS_FAILED RSL_NTB_SUBMIT_TO_SALES RSL_NTB_THANKYOU_PAGE"
Rapid LR 2.0,Master Maintenance,"Hi, @Mohit Agarwal , @Mounika Pokala Please check below mentioned table and update the lead ID master for SPL. BFL_STD_LAKE.PL_COE_MART.LEAD_ID_MASTER_SPL Adding @Meetesh Kumar"
Rapid LR: PL Urban,Change Request,"Dear team , please add below UTM Medium in S2S RAPID LR . utmMedium-CCOE_SMS for all product. campaign name - BFL_S2SCRM_RAPIDLR_COG_MANG"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please check why feeds are excluding for source = UCL as Default campaign not found and Offer disposition WIP. Kindly check what is the issue. attaching file for your reference."
Rapid LR 2.0,Clarification,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master & FIeld Allocation Master bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please check why PL, RPL and RSL feeds flowing in below mentioned SPL ONDC campaign. dialerCampaign BFL_RAPIDLR_ONDC_SAL_PRIME_PUNE BFL_RAPIDLR_SALPLG_ONDC_PUNE attaching file for your refrance."
Rapid LR: PL Urban,Clarification,".Hi Team, Please Add below UTM Medium All Data in BFL_S2SCRM_RAPIDLR_COG_MANG campaign. Now most of the data not pushed in campaign Sample data attached which was not pushed in campaign UTM Medum: CCOE_SMS CommCOE S2S_CCOE S2S_Service_Outbound sms Campaign Name: BFL_S2SCRM_RAPIDLR_COG_MANG"
Rapid LR 2.0,Master Maintenance,"Subject: NTB Enabling based on Event Names via NTB Event MASTER Enable current existing NTB flow for:- Source/Internalsoure - SUPERAPP , WEB Product - RPPL Event Name - RPPL_NTB_CIBIL_PASS"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please update the event names in NTB event master for PPL business where source= VOICEBOT."
Rapid LR 2.0,Clarification,"dear team , please check why S2S Rapid lr data is going blank and other campaign sharing sample data for your reference"
Rapid LR 2.0,Clarification,"HI @Suraj Bhambure , As discussed please check why the feeds are excluding for source = VOICEBOT , because PPL business works on NTB feeds as well then feeds can not be exclude as Offer not found. Attaching data for your refrace."
Rapid LR 2.0,Master Maintenance,@Mounika Pokala Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr There is an additional column. Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7566138 )
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. BFL_STD_LAKE.PL_COE_MART.BRANCH_MASTER_SPL Adding @Meetesh Kumar"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure @Mounika Pokala , Please check from your end, the campaign mentioned below, not a single feed has flowed into the campaign today for PPL. Campaign Name - BFL_RAPIDLR_PPL_HIN1_BARE Date Count 01-10-2025 519 02-10-2025 305 03-10-2025 277 04-10-2025 704 05-10-2025 458 06-10-2025 419 07-10-2025 859 08-10-2025 404 09-10-2025 0"
Rapid LR 2.0,Clarification,"Hi, Please check the below mentiond source this source is belongs to PPL business but feeds are allocting to other PLCS business. Kindly check where is teh gap. source= BAJAJFNSVMCL attaching data for your reference."
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master bfl_std_lake.insurance_distribution.pb_campaign_master_rlr in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7489192 )
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure @Mounika Pokala , Please check the below data and confirm the logic for exclusion of leads from RAPID LR to dialer campaign due to 'Default Campaign Not Found' and 'offerDisposition WIP' reason. Not Eligible 2205 2228 4433 52% Age 14 43 57 1% Calling Restricted As Per Governance 102 31 133 3% Default Campaign Not Found 604 611 1215 27% DNC Customer 3 3 6 0% Duplicate Event 116 238 354 8% MCP Check failed - Master; 4 11 15 0% Offer Disposition WIP 6 9 15 0% Offer Not Found 1138 889 2027 46% offerDisposition WIP 195 374 569 13% OfferExt Not Found 1 0 1 0% ResponseBusiness Not Set 22 19 41 1%"
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. bfl_std_lake.pl_coe_mart.vw_ntb_master bfl_std_lake.plds_biz.dnd_rk_campaign_master_ntb @Meetesh Kumar"
PL at POS,Change Request,"Since 20th sept, the Clevertap Processors failures have increased . Pls check for RCA & Resolve. CTA-CLEVERTAP CTService-ProcessEventHandler 27"
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master & FIeld Allocation Master bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master + bfl_std_lake . rural_coe_analytics .rural_field_allocation_master_rapidlr
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master & FIeld Allocation Master bfl_std_lake.rural_coe_analytics.rsl_pre_mcp_check_master
Rapid LR 2.0,Master Maintenance,"HI, Please update the master @Mohit Agarwal And @Mounika Pokala end for below mentioned tables- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake . pl_coe_mart . vw_ntb_master"
Rapid LR 2.0,Master Maintenance,"Hi @Suraj Bhambure , Lead lounge master has been updated for below Webhooks from our end. (Digital Platforms - PMG) Please refresh the same from your end. EVENTNAME WEBHOOK STANDALONE_ELIGIBILITY_CLICKED_HL_APP 1754310013 STANDALONE_ELIGIBILITY_CLICKED_LAP_APP 1754123542 HL_HOMEPAGE_CLICKED_HLBT_APP 1754280020 HL_HOMEPAGE_CLICKED_HL_APP 1754280257 CPR_APPLICATION_CLICKED_HL_APP 1754048073 CPR_APPLICATION_CLICKED_HL_WEB 1754048521 CPR_APPLICATION_CLICKED_LAP_APP 1754048832 CPR_APPLICATION_CLICKED_LAP_WEB 1754049247"
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. BFL_STD_LAKE.PL_COE_MART.BRANCH_MASTER_SPL @Meetesh Kumar"
Rapid LR 2.0,Clarification,013da621-2a4d-4271-a854-3f36e6743c4d c0eca931-0de8-4bed-9c0e-99a400b74b13 f9b57df3-e8d6-43a4-b767-f890ce195fee 56ac030b-8734-40ea-a7e1-bc7f2e3aaeeb 8dab0b1a-66a7-4399-875c-64bbfe97ee3c 9e81fa79-ec1c-4bfe-af62-c8e6d37dd5b3 80938000-5620-4f90-bef6-9f6ccd5b8cfb StatusReason: Offer Not Found but Identifier stamped as RPL please check
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please check the below table and update the NTB master bfl_std_lake.plds_biz.dnd_rk_campaign_master_ntb @Meetesh Kumar"
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. BFL_STD_LAKE.PL_COE_MART.BRANCH_MASTER_SPL @Meetesh Kumar"
Rapid LR 2.0,Master Maintenance,Hi @Mohit Agarwal @Mounika Pokala Please update the Lead id master for PL and SALPL BFL_STD_LAKE.PL_COE_MART.RAPIDLR_LEAD_IDENTIFY_CHANNEL_MASTER BFL_STD_LAKE.PL_COE_MART.LEAD_ID_MASTER_SPL @Meetesh Kumar
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.vw_ntb_master bfl_std_lake.plds_biz.dnd_rk_campaign_master_ntb @Meetesh Kumar"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , As per business these customers salary is below 50K and As per master only eligible feeds should be greater than and equals to 50K. Please check why these feeds are allocating to SPL business. logId correlationId mobile HH source internalSource status statusReason processorStartTime processorEndTime leadLoungeId platform subProduct eventName eventDescription cta hotnessPriority customerId prospectId identifier utmSource utmMedium utmCampaign responseBusiness processType priority pincode city state sourcingBranchId isGST loanAmount employmentType channelType channelBusiness channelLeadType leadTypeFlag interestType channel flag telecallingTeam prefLanguage enquirySource coolingPeriodInDays flagETBNTB paddedMobile offerEntryId offerStatusId offerId offerExtId dialerName dialerCampaign dialerSyncStatus smsCampaign smsSyncStatus loanApiStatus custDemogAPIStatus plcsAPIResponse statusHstUpdate smsResponse smsAPIStartTime smsAPIEndTime dialerStatus dialerStartTime dialerEndTime eb55feb6-5d71-4738-99f1-5b4bee9cfc22 e103e5aa-b645-8aa2-7c89-3afa558352c5-24bd472d-c0ca-c0b4-7354-d20f84b137ac 9CBDF237CE20D74B97D1056954D3C7CFFD85AC701E37A3BED26688C1C778B7D5 9CBDF237CE20D74B97D1056954D3C7CFFD85AC701E37A3BED26688C1C778B7D5 SUPERAPP SUPERAPP Eligible Eligible 2025-09-20 12:50:07.595000 2025-09-20 12:50:07.804000 APP SPL SALPL_OFFER_E-MANDATE JOURNEY_CLICK SUPERAPP H4 SPL SALPL Prime P1 560047 BANGALORE Salaried DIGITAL HOT H4 EXPLICIT 3IN1 APP ETB EE2CA296F79A038FB483B3E774A36D3B19FCCFF6024B74213D0E448BD86F27B0 39C095971904EA187F4CD3F6BA9641E0C14EA00EEF551FCA0F1C1BC71EC93F5C 39C095971904EA187F4CD3F6BA9641E0C14EA00EEF551FCA0F1C1BC71EC93F5C SPL48AA19CF-FDD6-4C94-A7FA-A6324726BC8C_95 plOne-SPL48AA19CF-FDD6-4C94-A7FA-A6324726BC8C_95 CISCO_2 BFL_RAPIDLR_SAL_PRIME_ETB_PUNE S <td style=""padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-size:11pt;font-family:""Aptos Narrow"", sans-serif;vertical-align:bottom;border:no"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please remove the default campaign handling as event wise routing for PLTB business. Because all language feeds are going in one campaign only. Kindly do these changes ASAP. User story Reference- User Story 6795724 : Event-Based Feed Assignment for PLTB Business"
Rapid LR 2.0,Master Maintenance,Hi @Mohit Agarwal @Mounika Pokala Please update the Lead id master for PL and SALPL BFL_STD_LAKE.PL_COE_MART.RAPIDLR_LEAD_IDENTIFY_CHANNEL_MASTER BFL_STD_LAKE.PL_COE_MART.LEAD_ID_MASTER_SPL @Meetesh Kumar
Rapid LR 2.0,Master Maintenance,@Mounika Pokala Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7311578 )
PL at POS,Change Request,Geeting 10-15k daily failures in the SFDC ingestion. Kindly check with Biz and change the master data synch to reduce the errors processorName exceptionType count SfdcSyncProcessor SfdcSyncProcessor-SFDCIngestionError 7355
Rapid LR 2.0,Master Maintenance,"Hi @Suraj Bhambure , Please check why the 'No Valid CTA' feeds are being stamped. Sample numbers are given below, and the file is also attached for reference. logId correlationId mobile source internalSource status statusReason processorStartTime processorEndTime 3bfe4266-0208-4b88-b91d-7fd80a8b67b7 a1f8f8d0-3e05-1c52-97e5-2f824c08601a-c48f77a1-99a0-4b4b-9aa2-cf5349d8ea7d EA0367BC38FD6B57E74D78453BCEDD4AC83794BC71A1C4A92B4714AD6A4307DA bflt34inf valuefirst Excluded No Valid CTA 2025-09-04 10:57:16.934000 2025-09-04 10:57:17.071000 5a3de976-35f6-452f-9552-0727786bd207 ffebc6cf-54c8-b4fd-013a-fd34125bccf6-febea317-3a7e-f7c7-ea95-cdc0b3e86d75 380C86C3DDD2D7CC7C57B8D899540985D3A64AAEB059EE19602C2732FE897108 bflt34inf valuefirst Excluded No Valid CTA 2025-09-03 13:44:48.844000 2025-09-03 13:44:49.001000 9c5c6906-554a-4d14-8456-7d0802a042bf 3fffaee9-0eaf-5aa3-bb1e-370516ad3a64-93833556-34af-ccfd-d7f6-51fdc5346c18 17AF82090DDC1A5011C489A60CE0832297507E28EAAFFDC2D9E0F5786D31DEB7 bflt34inf valuefirst Excluded No Valid CTA 2025-09-03 14:43:17.722000 2025-09-03 14:43:17.863000 be551018-b947-4583-8cfc-16d2acc5650b bfa0d97a-783a-ec24-39a3-487031bba60d-746c74a0-4af4-7da0-4228-b38af739dadd 8F17B5152AD009E8B66DB877C03574C76CC036B9401560B878D693648FF32CC8 bflt34inf valuefirst Excluded No Valid CTA 2025-09-04 10:49:40.891000 2025-09-04 10:49:41.035000 eba4263b-8be7-4eb3-8433-caa19429c449 c3134ef0-8253-68e6-d0ff-99ccf4b5d52f-dce8a2ad-1a99-f1b1-b261-65754f0389b9 A333FB1A2C97864D26A0EE9E8E63B23F821B7F0ED7D79C05999C04D87201A9D5 bflt34inf valuefirst Excluded No Valid CTA 2025-09-03 16:32:38.216000 2025-09-03 16:32:38.356000 @Meetesh Kumar"
PL at POS,Change Request,"Since 24th sept, the SMS Processors failures have increased . Pls check for RCA & Resolve. SMS-INTEGRATION SMSIntegration-ProcessEventHandler-1"
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master bfl_std_lake.rural_coe_analytics.rsl_pre_mcp_check_master
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master @Mohit Agarwal and @Mounika Pokala end for below mentioned tables- BFL_STD_LAKE . PL_COE_MART .RAPIDLR_BRNCH_CHNL_MASTER BFL_STD_LAKE . PL_COE_MART .BRANCH_MASTER_SPL"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the below mentioned master tables @Mohit Agarwal and @Mounika Pokala end- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake . pl_coe_mart . PLTB_MASTER"
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER @Meetesh Kumar"
Rapid LR 2.0,Master Maintenance,I want to include a new form ID ( Form ID: 807333995626103 ) in the Meta lead form for Doctors so that I can track and differentiate on campaign level.
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master
Rapid LR 2.0,Service Request,"Please help to share DOC POD API response of below cases hit on shared communication dates. Additionally, please share Request body if response is failed. AGREEMENT_NO POD_DATAUNIQUEID Mobile no Communication Cycle Date 75KHLGMP113454 697f883492f0c019437d0c1a18534d4f 6377172433 10-Nov-25 PE50PDF21245183 0cb15acff23547e722380addf566982b 7050025996 10-Nov-25 75JHLGMR126692 02dc4b9da19b7f166e3c2b083530abb9 6239512145 14-Nov-25 R75FDSMN702604 0f26ca1dd00664b108216c5e0aaa5936 9140323794 16-Nov-25 T49HLGMM896068 e202e1e9eaa8dd4ca76ef74b05095e0d 9600613368 16-Nov-25 W12HLGMS876148 eb0e05614e3ced37e62cad2eeeab13f4 8331859064 16-Nov-25 W77CBHMM412172 572160b68a236191dbb6450b89227ee1 7539943982 16-Nov-25 T22CBHMO514027 9b299c42a0c8a783d80be37f59433219 6260424901 16-Nov-25"
Rapid LR 2.0,Clarification,Log ID: 69f90768-39df-4d62-b1f1-e5c240a1e4e3 Campaing assigned: BFL_RAPIDLR_RPL_STP_DUMMY_PUNE Ideal Campaign : BFL_RLR_RPPL_AI_BOT_HIN_VADO
Rapid LR 2.0,Master Maintenance,"Hi @Mounika Pokala @Mohit Agarwal , Please update the master for below mentioned table. bfl_std_lake.pl_coe_mart.vw_ntb_master bfl_std_lake.plds_biz.dnd_rk_campaign_master_ntb BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master for below mentioned table at @Mohit Agarwal and @Mounika Pokala end- bfl_std_lake . pl_coe_mart . PLTB_MASTER"
Rapid LR 2.0,Master Maintenance,Tractor Event to be add in Lead Loan master
Rapid LR 2.0,Master Maintenance,Hi Requesting MASTER refresh for cache memory sync in Rural business 3in1: bfl_std_lake.rtl_cc.rpl_3in1_callback_branch_campaign_master
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure bfl_std_lake.insurance_distribution.pb_campaign_master_rlr in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7687739 )
Rapid LR 2.0,Master Maintenance,Kindly stop the creation of loan applications with immediate effect for all Missed Call responses Request source: Missed Call Journey Name: - FB_PLCS_PREQUALIFIED
Rapid LR 2.0,Master Maintenance,The current table has been updated for AFHO business with removal of Journey event Kindly refresh the below table for syncing. Table name - Lead Lounge
Rapid LR: PL Urban,Master Maintenance,"Hi @Raj Singh4 , Kindly refresh table as I update this today."
Rapid LR 2.0,Master Maintenance,"Hi, Please update the Master @Mohit Agarwal and @Mounika Pokala end for below mentioned table- Table- bfl_std_lake.pl_coe_mart.PLTB_MASTER"
Rapid LR 2.0,Clarification,"HI, As discussed kinldy discontinue the functionality for below mentioned response campaigns- PL_T2_Response PL_T1_Response PL_PPL_Response PL_GrowthNW_Response PL_Emerging_Response"
Rapid LR 2.0,Master Maintenance,"HI @Suraj Bhambure , Please arrange to take hard refresh of the master @Mohit Agarwal and @Mounika Pokala end for below mentioned table- BFL_STD_LAKE.PL_COE_MART.RAPIDLR_LEAD_IDENTIFY_CHANNEL_MASTER"
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7700890 )
